id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by;organisation_structure_id
37;userWOWE;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOWE;userWOWE@localhost;;true;pl;system;system;1170
38;userWSZ;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WSZ;userWSZ@localhost;;true;pl;system;system;1171
39;userWUIiOP;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WUIiOP;userWUIiOP@localhost;;true;pl;system;system;1172
40;userSWSPF;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;SWSPF;userSWSPF@localhost;;true;pl;system;system;1173
41;userSWSPDP;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;SWSPDP;userSWSPDP@localhost;;true;pl;system;system;1174
42;userWSiIoS;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WSiIoS;userWSiIoS@localhost;;true;pl;system;system;1275
43;userWOSBemowo;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSBemowo;userWOSBemowo@localhost;;true;pl;system;system;1361
44;userWKS;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WKS;userWKS@localhost;;true;pl;system;system;1385
45;userWOSBielany;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSBielany;userWOSBielany@localhost;;true;pl;system;system;1404
46;userWOSMokotow;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSMokotow;userWOSMokotow@localhost;;true;pl;system;system;1425
47;userWOSOchota;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSOchota;userWOSOchota@localhost;;true;pl;system;system;1448
48;userWOSPragaPoludnie1;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSPragaPoludnie;userWOSPragaPoludnie1@localhost;;true;pl;system;system;1467
49;userWOSRembertow;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSRembertow;userWOSRembertow@localhost;;true;pl;system;system;1484
50;userWOSSrodmiescie;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSSrodmiescie;userWOSSrodmiescie@localhost;;true;pl;system;system;1503
51;userWOSUrsynow;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSUrsynow;userWOSUrsynow@localhost;;true;pl;system;system;1566
52;userWOSUrsus;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSUrsus;userWOSUrsus@localhost;;true;pl;system;system;1545
53;userWOSTargowek;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSTargowek;userWOSTargowek@localhost;;true;pl;system;system;1531
54;userWOSWlochy;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSWlochy;userWOSWlochy@localhost;;true;pl;system;system;1644
55;userWOSWesola;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSWesola;userWOSWesola@localhost;;true;pl;system;system;1614
56;userWOSWawer;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSWawer;userWOSWawer@localhost;;true;pl;system;system;1589
57;userWOSZoliborz;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSZoliborz;userWOSZoliborz@localhost;;true;pl;system;system;1686
58;userWOSWola;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSWola;userWOSWola@localhost;;true;pl;system;system;1662
59;userWOSPragaPoludnie;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSPragaPoludnie;userWOSPragaPoludnie@localhost;;true;pl;system;system;1720
60;userLasyMiejskie;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;LM;userLM@localhost;;true;pl;system;system;2106
61;userMiejskiOgrodZoologiczny;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;MOZ;userMOZ@localhost;;true;pl;system;system;2107
62;userSchronisko;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;SBZ;userSBZ@localhost;;true;pl;system;system;2108
63;userZarzadZieleni;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;ZZW;userZZW@localhost;;true;pl;system;system;3038
64;userWOSWilanow;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Użytkownik;WOSWilanow;userWOSWilanow@localhost;;true;pl;system;system;1622
65;adminB_test;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;UD Ursus;adminB_test@localhost;;true;pl;system;system;1170
